"campaign","sample_ID","date_time","weight_g","T_C","RH","Area_m2","Patm","Dry_weight","Fresh_weight"
"branch_vs_leaf_4","blup",20/10/20 19:08,3.008476,25.9225,62.9,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:12,3.008476,25.7925,63.4075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:16,2.990779,25.77,63.4775,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:20,2.973082,25.8025,63.2775,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:24,2.955385,25.81,63.045,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:28,2.973082,25.7875,63.1875,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:32,2.973082,25.8075,63.25,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:36,2.955385,25.8375,63.225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:40,2.937688,25.915,63.175,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:44,2.990779,25.92,63.0025,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:48,2.937688,25.9175,63.15,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:52,2.955385,25.85,63.5125,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 19:56,2.973082,25.86,63.2775,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:00,2.919992,25.8025,63.3525,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:04,2.973082,25.8925,62.69,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:08,2.955385,25.9025,62.8875,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:12,2.937688,25.8675,63.0075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:16,2.955385,25.8825,63.2925,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:20,2.902295,25.8375,63.425,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:24,2.937688,25.8725,63.0775,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:28,2.919992,25.845,63.2775,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:32,2.955385,25.7875,63.4625,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:36,2.955385,25.795,63.2625,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:40,2.919992,25.825,63.39,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:44,2.955385,25.9425,63.0325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:48,2.902295,25.845,63.1425,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:52,2.973082,25.825,63.3575,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 20:56,2.937688,25.88,63.1225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:00,2.902295,25.895,63.225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:04,2.902295,25.7725,63.305,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:08,2.902295,25.7675,63.3925,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:12,2.937688,25.865,63.0675,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:16,2.919992,25.8175,63.155,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:20,2.955385,25.8675,63.2925,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:24,2.955385,25.89,63.0475,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:28,2.884598,25.965,62.9925,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:32,2.937688,25.8675,63.25,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:36,2.937688,25.86,63.325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:40,2.955385,25.8725,63.125,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:44,2.955385,25.8675,63.47,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:48,2.937688,25.8875,63.375,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:52,2.955385,25.9475,63.02,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 21:56,2.990779,25.8925,63.1975,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:00,2.990779,25.905,63.285,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:04,2.902295,25.865,63.2725,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:08,2.902295,25.85,63.2575,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:12,2.937688,25.835,63.2675,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:16,2.884598,25.9025,63.0175,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:20,2.955385,25.8975,63.1,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:24,2.902295,25.8475,63.1825,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:28,2.919992,25.855,63.1675,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:32,2.902295,25.8725,63.1475,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:36,2.884598,25.8375,63.135,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:40,2.919992,25.92,63.1025,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:44,2.937688,25.86,63.2425,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:48,2.866901,25.895,63.415,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:52,2.81381,25.9375,63.1175,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 22:56,2.884598,25.8625,63.385,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:00,2.937688,25.8775,63.105,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:04,2.902295,25.9275,62.8825,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:08,2.849204,25.9675,62.855,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:12,2.937688,25.9025,62.7575,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:16,2.919992,25.9025,63.125,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:20,2.866901,25.8875,63.0675,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:24,2.902295,25.875,63.09,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:28,2.902295,25.855,63.3475,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:32,2.902295,25.8475,63.1275,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:36,2.919992,25.8275,63.3075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:40,2.937688,25.8675,63.125,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:44,2.955385,25.915,63.2925,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:48,2.937688,25.9275,63.1075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:52,2.955385,25.89,63.2175,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 23:56,2.884598,25.8525,63.5225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:00,2.937688,25.8525,63.045,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:04,2.866901,25.895,63.0225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:08,2.866901,25.7225,63.45,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:12,2.884598,25.865,63.0075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:16,2.849204,25.8975,63.1325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:20,2.866901,25.86,62.985,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:24,2.849204,25.8525,63.1425,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:28,2.884598,25.855,63.24,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:32,2.919992,25.9275,62.945,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:36,2.919992,25.7775,63.6,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:40,2.937688,25.7625,63.375,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:44,2.919992,25.8725,63.2425,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:48,2.866901,25.81,63.545,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:52,2.902295,25.9575,62.67,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 00:56,2.902295,25.875,63.2425,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:00,2.902295,25.8925,63.12,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:04,2.884598,25.91,63.0575,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:08,2.849204,25.9,63.2425,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:12,2.849204,25.8425,63.1225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:16,2.866901,25.8225,63.44,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:20,2.919992,25.8175,63.365,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:24,2.884598,25.94,63.225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:28,2.919992,25.9475,63.1475,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:32,2.919992,25.8825,63.2525,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:36,2.919992,25.87,63.425,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:40,2.884598,25.8475,63.2375,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:44,2.866901,25.8225,63.44,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:48,2.919992,25.8275,63.2175,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:52,2.919992,25.7875,63.625,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 01:56,2.866901,25.81,63.425,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:00,2.866901,25.8475,63.405,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:04,2.902295,25.865,63.2075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:08,2.902295,25.93,63.1575,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:12,2.902295,25.88,63.025,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:16,2.902295,25.8325,63.2175,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:20,2.884598,25.8475,62.9325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:24,2.866901,25.835,63.285,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:28,2.902295,25.85,63.39,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:32,2.866901,25.7825,63.3875,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:36,2.884598,25.8425,63.405,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:40,2.866901,25.89,63.1625,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:44,2.884598,25.9375,63.2,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:48,2.866901,25.89,63.2025,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:52,2.866901,25.9075,63.09,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 02:56,2.902295,25.8825,63.125,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 03:00,2.955385,25.8675,63.3175,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 03:04,2.919992,25.76,63.8525,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 03:08,2.866901,25.8075,63.265,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 03:12,2.884598,25.8925,63.05,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 03:16,2.884598,25.8225,63.3025,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 03:20,2.849204,25.82,63.4225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 03:24,2.849204,25.81,63.26,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 03:28,2.884598,25.845,63.3175,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",21/10/20 03:32,2.81381,25.8325,63.16,0.0351,101.325,2.2,3.4
